"filename", "language", "HTML", "JavaScript", "TypeScript", "JSON", "JSON with Comments", "CSS", "TypeScript JSX", "Markdown", "XML", "comment", "blank", "total"
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/homepage/utils/returnContributionWidthPct.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/homepage/utils/returnSubContributionWidthPct.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/league/components/leagueFixtures/leagueFixtures.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 17, 63
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/league/components/leagueHeader/leagueHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 4, 24
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/league/components/leagueTeamStandings/components/tableRow.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 7, 109
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/league/components/leagueTeamStandings/leagueTeamStandings.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 11, 79
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/league/components/leagueTopAssists/leagueTopAssists.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 3, 36
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/league/components/leagueTopScorers/leagueTopScorers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 3, 36
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/league/services/getLeagueFixtures.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/league/services/getLeagueInfo.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/league/services/getLeagueTopAssists.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/league/styles/styles.css", "CSS", 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 1, 10
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/league/types/types.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 71, 6, 113
